id,path,name,latest_commit,files,loc,words,files_with_kw,files_with_keywords/globals.json,loc_with_kw,loc_of_files_with_keywords/globals.json,words_with_kw,words_of_files_with_keywords/globals.json,keywords/globals.json
104999562,projects/0/104999562-369d121a98aaa0b0b359cce6012df900bb891643,digirati-co-uk/python-capture-model-tools,369d121a98aaa0b0b359cce6012df900bb891643,2,570,2573,0,0,0,0,0,0,0
829743320,projects/0/829743320-491e7bcdf5c41f698e5ea5ed25c5d225e71c9e42,physwizz/A245-U-u5,491e7bcdf5c41f698e5ea5ed25c5d225e71c9e42,1929,842120,4857498,124,124,164808,164808,2098626,2098626,492
669723790,projects/0/669723790-a2a1c6fbdfc6c95542c4fe2de5d0163dad4fdb50,arendMoerman/tiempo2,a2a1c6fbdfc6c95542c4fe2de5d0163dad4fdb50,21,2881,11425,0,0,0,0,0,0,0
558329102,projects/0/558329102-8992fec776630746c2eafd0577e82e72eab7be8a,ZIHCO/alx-system_engineering-devops,8992fec776630746c2eafd0577e82e72eab7be8a,4,107,453,0,0,0,0,0,0,0
463343737,projects/0/463343737-ede8bf06b1f24654da0d11d54dbb0fb749005a93,evlachos93/Non-Markovian-Noise-Project,ede8bf06b1f24654da0d11d54dbb0fb749005a93,24,10014,42587,0,0,0,0,0,0,0
387881071,projects/0/387881071-71c1ecd88b2158bb77d2c91e3f3db1fe893e9e68,rosetta-rs/argparse-rosetta-rs,71c1ecd88b2158bb77d2c91e3f3db1fe893e9e68,2,241,834,0,0,0,0,0,0,0
724420183,projects/0/724420183-86fd8585282d9c9f26a4a70004e87e2f159330c7,Jaybee-01/alx-higher_level_programming,86fd8585282d9c9f26a4a70004e87e2f159330c7,217,6046,22202,0,0,0,0,0,0,0
148242128,projects/0/148242128-1c5a9cdbdfb300a2ed519dc7bd141e919617fcf6,Weidaoqin/Pythom.work,1c5a9cdbdfb300a2ed519dc7bd141e919617fcf6,48,1044,3167,0,0,0,0,0,0,0
532261202,projects/0/532261202-1520d8df1dbf472682a50b9870bfbea243543b9e,AndrewSae/Pi-Robot,1520d8df1dbf472682a50b9870bfbea243543b9e,4,213,596,0,0,0,0,0,0,0
161206120,projects/0/161206120-c58d5418b1d00b00136a7073e0e87ee785eaea06,juharris/textworld-bots,c58d5418b1d00b00136a7073e0e87ee785eaea06,8,1491,5161,0,0,0,0,0,0,0
292762478,projects/0/292762478-f9b623aa54d6574222abcbf37d65b7a1ce7609f4,HiteshMah-Jan/Pokemon-Classifier,f9b623aa54d6574222abcbf37d65b7a1ce7609f4,2,157,612,0,0,0,0,0,0,0
160886460,projects/0/160886460-a6e99ec453d25d6b748c8db7856554186ef8a1c6,kiana-h/MIT_Computer-Science-and-Programming-in-Python,a6e99ec453d25d6b748c8db7856554186ef8a1c6,14,6371,27379,0,0,0,0,0,0,0
92771870,projects/0/92771870-4557e9280d024532812bc92a7ff41f3607d7b3aa,m65v/opendlv.scaledcars,4557e9280d024532812bc92a7ff41f3607d7b3aa,42,13318,45620,2,2,4683,4683,17472,17472,6
643011871,projects/0/643011871-0d743695139b9d4d51c0bac26ac4798235f285dc,CoderJeffrey/exact-match-backend,0d743695139b9d4d51c0bac26ac4798235f285dc,2,141,642,0,0,0,0,0,0,0
761969297,projects/0/761969297-7adb85977c0d225f641021c2cafbcc9aff3a46c6,kila58/qemu-patched,7adb85977c0d225f641021c2cafbcc9aff3a46c6,767,289243,1037025,15,15,5498,5498,21003,21003,22
340955324,projects/0/340955324-7029b1bc9686568ea2a2b0d1bbdbf464d9948b95,gordon647/Gasabo-business,7029b1bc9686568ea2a2b0d1bbdbf464d9948b95,1,15,63,0,0,0,0,0,0,0
38124151,projects/0/38124151-630f6f6840b93b3a4cae82fc3f92fed9f99300a2,eugenebike/eugenebike.github.io,630f6f6840b93b3a4cae82fc3f92fed9f99300a2,1,449,1677,0,0,0,0,0,0,0
174233110,projects/0/174233110-95e27deace396e8fe8c641bdfc906eddf8f172a5,yui0204/keras_environmental_sound_segmentation,95e27deace396e8fe8c641bdfc906eddf8f172a5,11,5372,19855,0,0,0,0,0,0,0
236216302,projects/0/236216302-12e3803e7787b8d61f65bfbd3ecb8af9dd98fb5b,ahuiban/SEI.workInClass,12e3803e7787b8d61f65bfbd3ecb8af9dd98fb5b,13,304,1428,0,0,0,0,0,0,0
730358541,error,boiko88/vr_planet,b370b9f195580b6284db674fdf9e465a23f9e88e,0,0,0,0,0,0,0,0,0,0
286985222,projects/0/286985222-8573bc3868a1dd549e3db7239ceccf96ca225c21,Rwik2000/Autonomous-Car,8573bc3868a1dd549e3db7239ceccf96ca225c21,41,7380,31312,0,0,0,0,0,0,0
271615593,projects/0/271615593-e2382370373e3c26ffafdf6a5f51459bae674311,ambimorph/zkanki,e2382370373e3c26ffafdf6a5f51459bae674311,4,427,1991,0,0,0,0,0,0,0
726697627,projects/0/726697627-d66d73ad016cbbd9b598706c4e88e27f0845a00e,nasttymain/SecondLF,d66d73ad016cbbd9b598706c4e88e27f0845a00e,10,1669,8010,1,1,665,665,3435,3435,1
704716381,projects/0/704716381-61e279067d92235fb7503df2b04ba1fbeb5c296f,nico-ig/UDP-Video-Streaming,61e279067d92235fb7503df2b04ba1fbeb5c296f,23,1905,6450,11,11,972,972,3346,3346,11
630880997,projects/0/630880997-a66ddef1e845516a2b0aa6d20c623dba9aadb056,Githubjosmy/Multivendor-Restaurant,a66ddef1e845516a2b0aa6d20c623dba9aadb056,31,719,2435,0,0,0,0,0,0,0
111320912,projects/0/111320912-9765a90d52b4d6e5150bd43bad5125f89d0174b1,cameronfabbri/InfoGAN,9765a90d52b4d6e5150bd43bad5125f89d0174b1,3,495,1979,0,0,0,0,0,0,0
118961249,projects/0/118961249-99262e1f53617d2ea1d64fe2e8ddf9fced51426b,SSDeepthiKatta/Python,99262e1f53617d2ea1d64fe2e8ddf9fced51426b,4182,1902960,8074075,121,121,136549,136549,539991,539991,287
340816492,projects/0/340816492-ae348185562d3e97a9f4d7f27afe764ed62c3359,MoeruPhoenix/MyWaterMeter,ae348185562d3e97a9f4d7f27afe764ed62c3359,3,453,1410,0,0,0,0,0,0,0
775476860,projects/0/775476860-810348a935e7f1f43859e788bc45c8af9097b0bb,gquinteroum/compu2_um_2024,810348a935e7f1f43859e788bc45c8af9097b0bb,96,2476,7780,0,0,0,0,0,0,0
479035427,projects/0/479035427-f19581e9e562c53f5431f79d62c0f22e25f3c2b6,FabianHelmberger/NMS_Falina,f19581e9e562c53f5431f79d62c0f22e25f3c2b6,9,1630,5595,0,0,0,0,0,0,0
244249819,projects/0/244249819-444e534c42cea5eabd3ee46455d55a76e2602221,priyanmuthu/PaperCode,444e534c42cea5eabd3ee46455d55a76e2602221,24,2787,11138,0,0,0,0,0,0,0
410220909,projects/0/410220909-ff0cb7c74d0d93b28745bc79dfe4d706e01c3b3e,leSamo/Secret-ICMP-channel,ff0cb7c74d0d93b28745bc79dfe4d706e01c3b3e,1,61,337,0,0,0,0,0,0,0
246455897,projects/0/246455897-d1b52d84f846b251e9737499906f57dac6890a74,RajLabMSSM/editing-pipeline,d1b52d84f846b251e9737499906f57dac6890a74,2,38,160,0,0,0,0,0,0,0
598676278,projects/0/598676278-426da95c0edbc71fd6b1ed099816986285d74e28,Lantty623/pie_ythons,426da95c0edbc71fd6b1ed099816986285d74e28,4,283,876,0,0,0,0,0,0,0
295355706,projects/0/295355706-80eb50d689855a08ebb93f89b78cabcfdefa680e,tana1024/covid19-tana-web-api,80eb50d689855a08ebb93f89b78cabcfdefa680e,13,303,1060,0,0,0,0,0,0,0
660964894,projects/0/660964894-c0d4a55c58006f81a3fdc6f7050af7e31f5eb080,VolkanSah/OpenAI-Cost-Calculator,c0d4a55c58006f81a3fdc6f7050af7e31f5eb080,1,39,146,0,0,0,0,0,0,0
187893542,projects/0/187893542-31cf3fc64700e55e0154db0cadbad12980f8b3e7,LLabonte94/Coursera_Capstone,31cf3fc64700e55e0154db0cadbad12980f8b3e7,1,1,3,0,0,0,0,0,0,0
582320898,projects/0/582320898-895f74b931cee90f30aba81bd4349618b7fe2a56,MrE-Fog/pykrb5qqa,895f74b931cee90f30aba81bd4349618b7fe2a56,13,1709,6207,0,0,0,0,0,0,0
580593389,projects/0/580593389-c17446bb71fd96003f9bef73ec33068ee2e8fa63,Sahithium-Z/g4c,c17446bb71fd96003f9bef73ec33068ee2e8fa63,3,155,1005,0,0,0,0,0,0,0
338500671,projects/0/338500671-b4829032a109ab7903a4deddb30a10d60c030745,Aadil313/Aadil,b4829032a109ab7903a4deddb30a10d60c030745,8,513,2231,0,0,0,0,0,0,0
395558354,projects/0/395558354-f2c376fe4ce3a61a7859125db59f55810fd05153,pankajsajekar/ecommerce-website,f2c376fe4ce3a61a7859125db59f55810fd05153,34,1095,3415,0,0,0,0,0,0,0
391829811,projects/0/391829811-d75b5885eae6d1ed844420c6336c1caffe8612ff,sudo-phantom/shcanner,d75b5885eae6d1ed844420c6336c1caffe8612ff,2,164,657,0,0,0,0,0,0,0
148324309,projects/0/148324309-8cea32344c27c270773c41cac7d4cca4710c7c6e,dushumun/Showcase,8cea32344c27c270773c41cac7d4cca4710c7c6e,4,375,1563,0,0,0,0,0,0,0
469727087,projects/0/469727087-ce96b8b79180dda8dd4454e881790e4320ccf91b,Sally-twu/Deep-Learning,ce96b8b79180dda8dd4454e881790e4320ccf91b,1,29,145,0,0,0,0,0,0,0
164727527,projects/0/164727527-5fbe62c7309331c0b326cca3c4a5e4aaea55cb7d,chnadell/dlmCN,5fbe62c7309331c0b326cca3c4a5e4aaea55cb7d,9,1817,8992,0,0,0,0,0,0,0
708470887,projects/0/708470887-1993e4b930dd41c9bd5a535b1b28e03c73ed4684,hirvonensara/mlflow-demo,1993e4b930dd41c9bd5a535b1b28e03c73ed4684,3,227,789,0,0,0,0,0,0,0
14129832,projects/0/14129832-c2a44721272c68dca776758f26d2a459f0033499,BMClab/BMC,c2a44721272c68dca776758f26d2a459f0033499,46,7647,42561,0,0,0,0,0,0,0
21684460,projects/0/21684460-e27d43b04abddb6de4fe330201dfe8c35bd02ce2,nickpresta/chameleon,e27d43b04abddb6de4fe330201dfe8c35bd02ce2,3,261,905,0,0,0,0,0,0,0
789932647,projects/0/789932647-341ba5c9fd656c83a53cac4470e45a574b37ac87,xavdid/exercism,341ba5c9fd656c83a53cac4470e45a574b37ac87,10,929,3462,0,0,0,0,0,0,0
573144499,projects/0/573144499-0bd4a2b9a92c19d395cf8bb0cb21bd5a452be2f2,tmartinfr/advent_of_code,0bd4a2b9a92c19d395cf8bb0cb21bd5a452be2f2,81,2764,9707,0,0,0,0,0,0,0
458554179,projects/0/458554179-58676b8f02f330e2632ee9b2b97d427738b69fd7,NotSmurf1245/Exercism,58676b8f02f330e2632ee9b2b97d427738b69fd7,2,18,36,0,0,0,0,0,0,0
412109853,projects/0/412109853-02ac11d15c74a6cea8af2b8fe57b9668149bcdc8,OliverEichmueller/TSC_Science2021,02ac11d15c74a6cea8af2b8fe57b9668149bcdc8,1,43,209,0,0,0,0,0,0,0
613213240,projects/0/613213240-61124902067be2621613b698216cfdd85f16d9a4,wacoo/cheapr-project,61124902067be2621613b698216cfdd85f16d9a4,17,931,3078,0,0,0,0,0,0,0
322022929,projects/0/322022929-4fa3461bd6fb24a0a9c7c9e3045e0dab2ef2a1e0,Formulae-Litterae-Chartae/coenotur_handschriften,4fa3461bd6fb24a0a9c7c9e3045e0dab2ef2a1e0,20,2565,12708,0,0,0,0,0,0,0
708701401,projects/0/708701401-6cce1cea306d5f2acac6b8f4a28c8d0d930ac8d6,SINGROUP/ml-spm,6cce1cea306d5f2acac6b8f4a28c8d0d930ac8d6,76,13736,59775,0,0,0,0,0,0,0
227070627,projects/0/227070627-450547a41d830bf08570203ad89d9b0713b061a8,BeachBoulevard/bookstore,450547a41d830bf08570203ad89d9b0713b061a8,44,893,2705,0,0,0,0,0,0,0
41652700,projects/0/41652700-b50b7d8738cba5e2a4865b381185f646a96c872c,imharrywu/v8,b50b7d8738cba5e2a4865b381185f646a96c872c,2808,713599,3022030,116,116,97228,97228,438151,438151,346
353362618,projects/0/353362618-0216bae66a3868ff783b41acdefc7579bda026f8,ShanmukhaSaiPrakashUriti/MLAI,0216bae66a3868ff783b41acdefc7579bda026f8,2,331,1559,0,0,0,0,0,0,0
557723563,projects/0/557723563-1fdc54433fb6188e570b0247e17c746597ecab89,python-hacked/bluetickhrm,1fdc54433fb6188e570b0247e17c746597ecab89,2548,702918,2633363,52,52,44851,44851,182137,182137,185
19021683,projects/0/19021683-d1c083f0252f853a33be3aa4ef3ee316e46f30f9,tbirdsaw/xyz-tools,d1c083f0252f853a33be3aa4ef3ee316e46f30f9,4,369,1243,0,0,0,0,0,0,0
611679189,projects/0/611679189-d09eac01132cd2ce401d25cbbba8c568306362d7,darijo/360-Video-DASH-Dataset,d09eac01132cd2ce401d25cbbba8c568306362d7,3,365,1266,0,0,0,0,0,0,0
392923853,projects/0/392923853-962cff1aa1eb3e33aefa704044bce4e1da2fd80a,datawhales/Korean_KG,962cff1aa1eb3e33aefa704044bce4e1da2fd80a,3,403,1530,0,0,0,0,0,0,0
332934941,projects/0/332934941-087877be1c9716109978be284ea74e2a47e9b522,azufre/Scrapy,087877be1c9716109978be284ea74e2a47e9b522,1052,346948,1390750,31,31,24990,24990,94765,94765,76
405772239,projects/0/405772239-eb5f40df2d15ce41014f6ee4204a510b42ed67cb,bruno-albino/tcc-ifsp,eb5f40df2d15ce41014f6ee4204a510b42ed67cb,8,905,2762,0,0,0,0,0,0,0
181108129,projects/0/181108129-d5d23d440408398ec740717b3c30309f4fb81cce,NVlabs/data-orchestration,d5d23d440408398ec740717b3c30309f4fb81cce,10,535,1848,0,0,0,0,0,0,0
718102826,projects/0/718102826-eef6a84837f8a95a5fa4ac82b3963c4bf095f4a5,CodeFishCorporation/CodeFish,eef6a84837f8a95a5fa4ac82b3963c4bf095f4a5,1,23,89,0,0,0,0,0,0,0
