id,path,name,position,language,loc,words,keywords/builtins.json,keywords/from_import.json,keywords/global.json,keywords/globals.json,keywords/import.json,keywords/inspect.json,keywords/locals.json,keywords/nonlocal.json,loop_statements,loop_nestings,if_statements,if_nestings,functions_calls,function_calls_nestings,params,param_kw_match,return_kw_match,parse_error
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/wtforms/meta.py.functions/66-5,build_csrf,66:5,python,17,69,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/ntpath.py.functions/337-1,expandvars,337:1,python,107,331,0,0,0,0,2,0,0,0,2,2,10,3,17,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/flask_security/utils.py.functions/1044-1,password_complexity_validator,1044:1,python,42,154,0,0,0,0,1,0,0,0,1,1,6,3,7,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/flask_security/utils.py.functions/1130-1,pwned,1130:1,python,37,120,0,0,0,0,2,0,0,0,0,0,1,1,18,4,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/concurrent/futures/process.py.functions/97-1,_python_exit,97:1,python,8,24,0,0,1,0,0,0,0,0,2,1,0,0,4,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/concurrent/futures/process.py.functions/454-1,_check_system_limits,454:1,python,22,45,0,0,1,0,0,0,0,0,0,0,4,2,3,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/concurrent/futures/process.py.functions/611-5,submit,611:5,python,36,126,0,0,0,0,1,0,0,0,0,0,4,1,14,2,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/_distutils/command/py37compat.py.functions/4-1,_pythonlib_compat,4:1,python,15,41,0,1,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_vendor/rich/layout.py.functions/223-5,tree,223:5,python,38,115,0,3,0,0,0,0,0,0,1,1,1,1,12,3,0,0,0,none
105887056,imp_projects4/0/105887056-8518f4b10022ea2e9c15710bb693c68d298c67b7/mike84265-AIML-8518f4b/HW1/layout.py.functions/43-5,initializeVisibilityMatrix,43:5,python,20,142,0,1,1,0,0,0,0,0,4,4,2,2,17,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/logging/handlers.py.functions/994-5,emit,994:5,python,31,105,0,1,0,0,2,0,0,0,0,0,3,2,14,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/logging/handlers.py.functions/1036-5,__init__,1036:5,python,25,105,0,0,0,0,1,0,0,0,0,0,1,1,6,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/logging/handlers.py.functions/1157-5,emit,1157:5,python,45,150,0,0,0,0,2,0,0,0,0,0,7,2,21,3,0,0,0,none
6443219,imp_projects4/0/6443219-0af2d7e438accd01a0d6d5763b7a3211dc246f00/simkovic-Chase-0af2d7e/code/ReplayData.py.functions/166-5,__init__,166:5,python,26,148,0,1,0,0,0,0,0,0,0,0,1,1,15,2,0,0,0,none
6443219,imp_projects4/0/6443219-0af2d7e438accd01a0d6d5763b7a3211dc246f00/simkovic-Chase-0af2d7e/code/ReplayData.py.functions/552-1,replayTrial,552:1,python,22,135,0,1,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,none
6443219,imp_projects4/0/6443219-0af2d7e438accd01a0d6d5763b7a3211dc246f00/simkovic-Chase-0af2d7e/code/ReplayData.py.functions/575-1,replayBlock,575:1,python,30,171,0,1,0,0,0,0,0,0,1,1,1,1,20,3,0,0,0,none
6443219,imp_projects4/0/6443219-0af2d7e438accd01a0d6d5763b7a3211dc246f00/simkovic-Chase-0af2d7e/code/ReplayData.py.functions/607-1,compareCoding,607:1,python,36,257,0,0,0,0,2,0,0,0,7,4,0,0,39,3,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/zipimport.py.functions/63-5,__init__,63:5,python,39,110,0,0,0,0,1,0,0,0,1,1,6,1,11,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/zipimport.py.functions/234-5,load_module,234:5,python,36,134,1,0,0,0,0,0,0,0,0,0,3,1,11,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/zipimport.py.functions/272-5,get_resource_reader,272:5,python,16,64,0,1,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/zipimport.py.functions/510-1,_get_decompress_func,510:1,python,19,53,0,1,1,0,0,0,0,0,0,0,1,1,5,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/zipimport.py.functions/736-5,open_resource,736:5,python,8,28,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/zipimport.py.functions/762-5,contents,762:5,python,31,66,0,1,0,0,0,0,0,0,1,1,1,1,8,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/idlelib/idle_test/test_config.py.functions/554-5,test_get_font,554:5,python,18,59,0,3,0,0,0,0,0,0,0,0,1,1,9,2,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_vendor/pygments/cmdline.py.functions/138-1,_print_list_as_json,138:1,python,43,100,0,0,0,0,1,0,0,0,4,1,4,1,10,1,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_vendor/pygments/cmdline.py.functions/182-1,main_inner,182:1,python,333,894,0,0,0,0,1,0,0,0,5,1,51,4,95,3,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_vendor/pygments/cmdline.py.functions/528-1,main,528:1,python,141,782,0,0,0,0,1,0,0,0,0,0,2,1,45,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/shelve.py.functions/225-5,__init__,225:5,python,3,21,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/_distutils/py38compat.py.functions/1-1,aix_platform,1:1,python,8,19,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,none
428375470,imp_projects4/0/428375470-dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e/StringSuzana-chat_server-dd22e9d/venv/Lib/site-packages/pip/_vendor/cachecontrol/caches/file_cache.py.functions/58-5,__init__,58:5,python,38,96,0,2,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,none
277719367,imp_projects4/0/277719367-899d4d0ec3ef9bf7be79d58ff05d686358db4a15/JadeSpringLee-myblogs-899d4d0/myblogs/extensions.py.functions/21-1,load_user,21:1,python,4,16,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/filecmp.py.functions/292-1,demo,292:1,python,11,41,0,0,0,0,2,0,0,0,0,0,2,1,6,1,0,0,0,none
33257894,imp_projects4/0/33257894-88424361ede6d9215835cd839cc51b02e5771ff7/BrainTech-pisak-8842436/eyetracker/camera/hpe/marker-detector/logger.py.functions/11-5,_log,11:5,python,11,43,0,0,0,0,1,0,0,0,0,0,1,1,8,3,0,0,0,none
33257894,imp_projects4/0/33257894-88424361ede6d9215835cd839cc51b02e5771ff7/BrainTech-pisak-8842436/eyetracker/camera/hpe/marker-detector/logger.py.functions/52-1,set_logging_level,52:1,python,7,22,0,0,1,0,0,0,0,0,2,2,0,0,2,1,0,0,0,none
33257894,imp_projects4/0/33257894-88424361ede6d9215835cd839cc51b02e5771ff7/BrainTech-pisak-8842436/eyetracker/camera/hpe/marker-detector/logger.py.functions/63-5,get_stream,63:5,python,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none
500871419,imp_projects4/0/500871419-581dee668b263e5bb74db99202acabf30ecebb85/tedomi2705-kernel_xiaomi_sdm660-581dee6/tools/perf/scripts/python/compaction-times.py.functions/44-1,set_type,44:1,python,3,14,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,none
500871419,imp_projects4/0/500871419-581dee668b263e5bb74db99202acabf30ecebb85/tedomi2705-kernel_xiaomi_sdm660-581dee6/tools/perf/scripts/python/compaction-times.py.functions/246-1,pr_help,246:1,python,13,86,0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/multiprocessing/synchronize.py.functions/50-5,__init__,50:5,python,33,106,0,1,0,0,0,0,0,0,1,1,3,1,12,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/multiprocessing/synchronize.py.functions/85-5,_cleanup,85:5,python,4,12,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/multiprocessing/synchronize.py.functions/362-5,__init__,362:5,python,8,37,0,1,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/sqlalchemy/dialects/postgresql/pygresql.py.functions/197-5,dbapi,197:5,python,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,none
500871419,imp_projects4/0/500871419-581dee668b263e5bb74db99202acabf30ecebb85/tedomi2705-kernel_xiaomi_sdm660-581dee6/tools/perf/scripts/python/net_dropmonitor.py.functions/16-1,get_kallsyms_table,16:1,python,13,32,0,0,1,0,0,0,0,0,1,1,0,0,6,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/pip/_vendor/pkg_resources/__init__.py.functions/137-1,_declare_state,137:1,python,3,13,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/pip/_vendor/pkg_resources/__init__.py.functions/142-1,__getstate__,142:1,python,6,20,0,0,0,1,0,0,0,0,1,1,0,0,3,1,0,0,0,none
