id,path,name,latest_commit,files,loc,words,files_with_kw,files_with_keywords/global.json,files_with_keywords/nonlocal.json,files_with_keywords/import.json,files_with_keywords/from_import.json,loc_with_kw,loc_of_files_with_keywords/global.json,loc_of_files_with_keywords/nonlocal.json,loc_of_files_with_keywords/import.json,loc_of_files_with_keywords/from_import.json,words_with_kw,words_of_files_with_keywords/global.json,words_of_files_with_keywords/nonlocal.json,words_of_files_with_keywords/import.json,words_of_files_with_keywords/from_import.json,keywords/global.json,keywords/nonlocal.json,keywords/import.json,keywords/from_import.json
156622791,imp_projects2/0/156622791-bec769c6da01ed7f557ea26c9748e57b18505d74,DMSaunders/Recommending-Paths-to-Occupations,bec769c6da01ed7f557ea26c9748e57b18505d74,6,1490,4823,6,0,0,6,5,1490,0,0,1490,1069,4823,0,0,4823,2920,0,0,25,43
12903112,imp_projects2/0/12903112-88b26caf2baab6bf35d7fdfbb95ce25d895b04ec,doyler/ImageGen,88b26caf2baab6bf35d7fdfbb95ce25d895b04ec,2,174,3696,2,0,0,2,2,174,0,0,174,174,3696,0,0,3696,3696,0,0,2,2
17984295,imp_projects2/0/17984295-105ad588a66a8bed8681414f73189a082020c508,jasuarez/minbif,105ad588a66a8bed8681414f73189a082020c508,5,753,2794,4,0,0,4,3,718,0,0,718,625,2626,0,0,2626,2213,0,0,11,7
478161500,imp_projects2/0/478161500-394f133b590b7edc344ada994c60186473b32997,DuckMonster/hellgun2,394f133b590b7edc344ada994c60186473b32997,5,238,778,4,0,0,2,3,238,0,0,180,213,778,0,0,573,698,0,0,5,7
233376576,imp_projects2/0/233376576-03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec,chiehting/lab,03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec,22,1112,3526,22,0,0,20,7,1112,0,0,1050,278,3526,0,0,3343,840,0,0,46,8
492495030,imp_projects2/0/492495030-160851d1d00d618946de995f764cf392291c2d75,Chocker926/Security_in_action,160851d1d00d618946de995f764cf392291c2d75,3,122,409,3,0,0,3,2,122,0,0,122,81,409,0,0,409,276,0,0,7,2
539077634,imp_projects2/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e,sdht010902/12,ec8c00ef7744e0303214ece67f0c94141fc3848e,19,1121,4218,19,0,0,19,0,1121,0,0,1121,0,4218,0,0,4218,0,0,0,57,0
512470465,imp_projects2/0/512470465-69ea89f59212f33f874f5f26b69f2e17aa22e222,novuhq/blog,69ea89f59212f33f874f5f26b69f2e17aa22e222,1,140,627,1,0,0,1,1,140,0,0,140,140,627,0,0,627,627,0,0,2,2
108924214,imp_projects2/0/108924214-eb57d054ce9041054d921daf31850d6259d8bfcf,masamitsu-murase/wmi_device_manager,eb57d054ce9041054d921daf31850d6259d8bfcf,10,1684,2999,8,1,0,6,5,642,171,0,598,431,2007,512,0,1822,1382,1,0,21,11
159998480,imp_projects2/0/159998480-3abe3509c1d893e7ef3332c436418377e4a11a12,EliZucker/Paranoid-Passenger,3abe3509c1d893e7ef3332c436418377e4a11a12,10,8949,41053,7,0,0,5,5,843,0,0,742,297,2134,0,0,1859,938,0,0,7,14
770928505,imp_projects2/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c,epfl-cs358/2024sp-exoskeleton,9b13aa338b619080c86e23e0492a5a82deecfa1c,725,265332,989502,662,23,7,499,617,252555,25761,21383,193173,248944,937741,97364,79835,744821,916763,42,8,1912,3557
378234697,imp_projects2/0/378234697-f09ce04b69a060ea0ae9817266b3ae477b1431ab,Savzan/croupier_bot,f09ce04b69a060ea0ae9817266b3ae477b1431ab,2,471,1671,2,0,0,2,2,471,0,0,471,471,1671,0,0,1671,1671,0,0,4,4
384746716,imp_projects2/0/384746716-b09f58e9c4664fa9842eead95b3e54a8027870e2,neuronic-ai/OV_Data_Bridge,b09f58e9c4664fa9842eead95b3e54a8027870e2,67,4098,12132,56,0,0,29,55,4072,0,0,3857,3960,12011,0,0,11249,11559,0,0,76,147
663115829,imp_projects2/0/663115829-82e43c96b1e769eb4337e411654a445131799a66,simyat/Penetration_Testing_Tools,82e43c96b1e769eb4337e411654a445131799a66,7,442,1606,7,0,0,7,1,442,0,0,442,18,1606,0,0,1606,65,0,0,10,2
