name,original
projects/0/670479467-d5342302406adcb47a34ec06d94af83bca336aef/volcengine-pulumi-volcengine-d534230/sdk/python/pulumi_volcengine/clb/acl_entry.py,projects/0/670479467-d5342302406adcb47a34ec06d94af83bca336aef/volcengine-pulumi-volcengine-d534230/sdk/python/pulumi_volcengine/clb/acl_entry.py
projects/0/100426659-4992672559c1df38378fd2e3c8d4e6936b65fdfa/dawnwages-micons-4992672/home/templatetags/logo_tags.py,projects/0/100426659-4992672559c1df38378fd2e3c8d4e6936b65fdfa/dawnwages-micons-4992672/home/templatetags/logo_tags.py
projects/0/372531249-e4e0519e679758a946b2d49e97e5db34965b2368/glauke1996-airbnb-clone-e4e0519/airbnb_project/bnb/Lib/site-packages/django/bin/django-admin.py,projects/0/372531249-e4e0519e679758a946b2d49e97e5db34965b2368/glauke1996-airbnb-clone-e4e0519/airbnb_project/air/Lib/site-packages/django/bin/django-admin.py
projects/0/540570159-b7bf6eff2a15807396f4d227bce31f9b48de0a90/fierc3-DL4G-HSLU-b7bf6ef/jass-kit-py/jass/game/game_state_util.py,projects/0/540570159-b7bf6eff2a15807396f4d227bce31f9b48de0a90/fierc3-DL4G-HSLU-b7bf6ef/jass-kit-py/jass/game/game_state_util.py
projects/0/654435053-071b4d8188f632efda1c9c09688257f187e7ed93/EliBabakhani-CW98-071b4d8/cw21-MusicPlayer/venv/Lib/site-packages/pip/_vendor/urllib3/connection.py,projects/0/585782316-37fcec1ae22885c1b52e2aadb688e9b5927fcec3/ball2004244-KIPE-member-management-37fcec1/venv/Lib/site-packages/urllib3/connection.py
projects/0/271510471-2386a1776fff521031fecca9d96ad28d82a72c44/mattcleigh-Reinforcement_Learning-2386a17/Algorithms/Q_Learning/QRDQN/Train.py,projects/0/271510471-2386a1776fff521031fecca9d96ad28d82a72c44/mattcleigh-Reinforcement_Learning-2386a17/Algorithms/Q_Learning/QRDQN/Train.py
projects/0/654435053-071b4d8188f632efda1c9c09688257f187e7ed93/EliBabakhani-CW98-071b4d8/shop/venv/Lib/site-packages/pip/_internal/models/direct_url.py,projects/0/585782316-37fcec1ae22885c1b52e2aadb688e9b5927fcec3/ball2004244-KIPE-member-management-37fcec1/venv/Lib/site-packages/pip/_internal/models/direct_url.py
projects/0/422662943-e82fcb364ac365dfdf93a956bba16e2b3a40fa8c/jeffuncu4-SWcompare-e82fcb3/codes/flux_difference_plot.py,projects/0/422662943-e82fcb364ac365dfdf93a956bba16e2b3a40fa8c/jeffuncu4-SWcompare-e82fcb3/codes/flux_difference_plot.py
projects/0/115906006-c605b66ae5d5e24d6d9db4c5249c1e6e52a0db6e/13517592731-worklog-c605b66/worklog/venv/Lib/site-packages/pip/commands/uninstall.py,projects/0/81226588-0e11f0626249fb0c75d842b1b6f9c6c506cf013f/samantavm-mPark-0e11f06/mParkCloud/lib/python3.5/site-packages/pip/commands/uninstall.py
projects/0/708313573-0562cb0623215ee0fb2565055c5004406e84b315/knowledge-fusion-ncexplorer-0562cb0/app/views/internal_healthcheck.py,projects/0/708313573-0562cb0623215ee0fb2565055c5004406e84b315/knowledge-fusion-ncexplorer-0562cb0/app/views/internal_healthcheck.py
projects/0/312859631-1d7a6c9818ea8293bd6fd89714488dc0e87b1579/Harrisonsam932-Python-1d7a6c9/Previous Courses/Crash Course/Textbook Files/chapter_18/building_additional_pages/learning_logs/models.py,projects/0/312859631-1d7a6c9818ea8293bd6fd89714488dc0e87b1579/Harrisonsam932-Python-1d7a6c9/Previous Courses/Crash Course/Textbook Files/chapter_19/allowing_users_to_enter_data/learning_logs/models.py
projects/0/654435053-071b4d8188f632efda1c9c09688257f187e7ed93/EliBabakhani-CW98-071b4d8/cw15/venv/Lib/site-packages/pip/_internal/operations/build/build_tracker.py,projects/0/585782316-37fcec1ae22885c1b52e2aadb688e9b5927fcec3/ball2004244-KIPE-member-management-37fcec1/venv/Lib/site-packages/pip/_internal/operations/build/build_tracker.py
projects/0/808332436-f3c409f3c6fc83c0917edeb5f056deabb0b680f5/toreachpoise-sporulation-f3c409f/ren'py/Messenger 1.1/renpy/object.py,projects/0/808332436-f3c409f3c6fc83c0917edeb5f056deabb0b680f5/toreachpoise-sporulation-f3c409f/ren'py/Messenger 1.1/renpy/object.py
projects/0/208345644-35bb81be4810b0f4496390539f9774334488224f/censys-censys-splunk-35bb81b/packages/Splunk_TA_censys/bin/splunk_ta_censys/aob_py3/jsl/fields/primitive.py,projects/0/208345644-35bb81be4810b0f4496390539f9774334488224f/censys-censys-splunk-35bb81b/packages/Splunk_TA_censys/bin/splunk_ta_censys/aob_py3/jsl/fields/primitive.py
projects/0/119972800-0d078a9f1290f1d927012fb852aa6fd419d1b42f/ajay0288-mine-0d078a9/feedback/venv/Lib/site-packages/django/test/signals.py,projects/0/119972800-0d078a9f1290f1d927012fb852aa6fd419d1b42f/ajay0288-mine-0d078a9/feedback/venv/Lib/site-packages/django/test/signals.py
projects/0/372531249-e4e0519e679758a946b2d49e97e5db34965b2368/glauke1996-airbnb-clone-e4e0519/airbnb_project/air/Lib/site-packages/pip/_vendor/pep517/dirtools.py,projects/0/372531249-e4e0519e679758a946b2d49e97e5db34965b2368/glauke1996-airbnb-clone-e4e0519/airbnb_project/air/Lib/site-packages/pip/_vendor/pep517/dirtools.py
