id,path,name,latest_commit,files,loc,words,files_with_kw,files_with_keywords/global.json,files_with_keywords/nonlocal.json,files_with_keywords/globals.json,files_with_keywords/locals.json,files_with_keywords/inspect.json,files_with_keywords/import.json,files_with_keywords/from_import.json,files_with_keywords/builtins.json,loc_with_kw,loc_of_files_with_keywords/global.json,loc_of_files_with_keywords/nonlocal.json,loc_of_files_with_keywords/globals.json,loc_of_files_with_keywords/locals.json,loc_of_files_with_keywords/inspect.json,loc_of_files_with_keywords/import.json,loc_of_files_with_keywords/from_import.json,loc_of_files_with_keywords/builtins.json,words_with_kw,words_of_files_with_keywords/global.json,words_of_files_with_keywords/nonlocal.json,words_of_files_with_keywords/globals.json,words_of_files_with_keywords/locals.json,words_of_files_with_keywords/inspect.json,words_of_files_with_keywords/import.json,words_of_files_with_keywords/from_import.json,words_of_files_with_keywords/builtins.json,keywords/global.json,keywords/nonlocal.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/import.json,keywords/from_import.json,keywords/builtins.json
114761380,projects/0/114761380-121e27a8c40f201424a278906014360eae0b4ff1,Bug38/AoC,121e27a8c40f201424a278906014360eae0b4ff1,53,3073,11586,43,3,1,0,0,0,35,14,0,2566,229,64,0,0,0,1774,1185,0,10018,986,204,0,0,0,6979,4951,0,3,2,0,0,0,35,22,0
207982245,projects/0/207982245-4269d0a2ca020ea74a2fa1f043c7bd4b309112a0,lkakaka/GameServer,4269d0a2ca020ea74a2fa1f043c7bd4b309112a0,182,74644,286173,141,2,0,1,0,0,124,127,0,73076,244,0,8604,0,0,71908,71356,0,279154,1017,0,19152,0,0,274093,272494,0,2,0,14,0,0,288,627,0
44340145,projects/0/44340145-1195688557b7c74bae674e5bf7a8551c33bc9768,lxc-xx/cascor,1195688557b7c74bae674e5bf7a8551c33bc9768,8,514,2124,6,0,0,0,0,0,6,3,0,513,0,0,0,0,0,513,431,0,2120,0,0,0,0,0,2120,1860,0,0,0,0,0,0,23,23,0
321340362,projects/0/321340362-b4038368f0821922830ab9d890a76b3c707073e4,IRNAS/koruza-v2-ui,b4038368f0821922830ab9d890a76b3c707073e4,21,2247,7524,21,0,0,0,0,0,21,11,0,2247,0,0,0,0,0,2247,1862,0,7524,0,0,0,0,0,7524,6332,0,0,0,0,0,0,74,48,0
336605156,projects/0/336605156-80a62b8858759bad6dbf1ccac264efb06696adf1,code-mentoring/ctci,80a62b8858759bad6dbf1ccac264efb06696adf1,80,3765,13543,30,0,2,0,0,0,12,20,0,1730,0,117,0,0,0,820,1204,0,6082,0,308,0,0,0,2847,4095,0,0,2,0,0,0,12,24,0
53549152,projects/0/53549152-9852f45c07fa1e5428aef094edc090d4189e219a,ecarl65/udcacity_data_analysis,9852f45c07fa1e5428aef094edc090d4189e219a,13,2106,9840,13,0,0,0,0,0,13,9,0,2106,0,0,0,0,0,2106,1809,0,9840,0,0,0,0,0,9840,8010,0,0,0,0,0,0,46,16,0
488360389,projects/0/488360389-ed89fb9fe92f375c50cdf60425bf65b4fd3de951,bramhaag/stochastic-sokoban,ed89fb9fe92f375c50cdf60425bf65b4fd3de951,14,1515,5350,11,0,0,0,0,0,8,10,0,1515,0,0,0,0,0,1218,1498,0,5350,0,0,0,0,0,4441,5311,0,0,0,0,0,0,28,27,0
742813767,projects/0/742813767-2681a2ecd5bd3ba57fb526eb5d0c9030a6466c88,Masim3897/resume,2681a2ecd5bd3ba57fb526eb5d0c9030a6466c88,29,275,782,22,0,0,0,0,0,5,22,0,275,0,0,0,0,0,190,275,0,782,0,0,0,0,0,539,782,0,0,0,0,0,0,6,26,0
209525739,projects/0/209525739-f916acb6877e141b57a9f4e039a35be6eb3ed691,jheitmann/Neural-net-pruning,f916acb6877e141b57a9f4e039a35be6eb3ed691,16,1582,6474,12,1,0,0,0,0,12,6,0,1582,89,0,0,0,0,1582,1007,0,6474,327,0,0,0,0,6474,4402,0,1,0,0,0,0,45,13,0
725379600,projects/0/725379600-84cee5c3cf6bc24740a7b943695dd966a62cfa7b,10meters/final-jeopardy,84cee5c3cf6bc24740a7b943695dd966a62cfa7b,3,2673,11658,1,1,0,0,0,0,1,1,0,2217,2217,0,0,0,0,2217,2217,0,7919,7919,0,0,0,0,7919,7919,0,33,0,0,0,0,3,6,0
641416427,projects/0/641416427-aca8138d4a19909d2498fd5cf2dc33cce85bae32,bmsuisse/lakeapi,aca8138d4a19909d2498fd5cf2dc33cce85bae32,64,7317,22499,59,2,1,0,0,0,50,54,0,7316,236,86,0,0,0,6790,7196,0,22485,609,362,0,0,0,21057,22042,0,3,1,0,0,0,187,263,0
241730557,projects/0/241730557-1fc6f0e11ed8ae3e33bae972860fef6cbe09cd61,alexeypodorozhnyi/ServiceDesk,1fc6f0e11ed8ae3e33bae972860fef6cbe09cd61,33,803,2552,27,0,0,0,0,0,9,26,0,803,0,0,0,0,0,358,671,0,2552,0,0,0,0,0,1132,2206,0,0,0,0,0,0,10,56,0
442580509,projects/0/442580509-e15ec16cc48e6669aba54df6bd3d7df5846568d7,Francys73/Final-Data-Science-Project,e15ec16cc48e6669aba54df6bd3d7df5846568d7,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573336472,projects/0/573336472-e9459bbb1d4c44608ed6b9dbca8ef36ded9d88bc,Isham013/selenium,e9459bbb1d4c44608ed6b9dbca8ef36ded9d88bc,3,186,871,3,0,0,0,0,0,3,3,0,186,0,0,0,0,0,186,186,0,871,0,0,0,0,0,871,871,0,0,0,0,0,0,11,8,0
367510730,projects/0/367510730-c87290b46b4a13ecfd9d396ec4e31632202bb5ec,yakiimoninja/osu,c87290b46b4a13ecfd9d396ec4e31632202bb5ec,7,452,1787,6,0,0,0,0,0,6,0,0,433,0,0,0,0,0,433,0,0,1707,0,0,0,0,0,1707,0,0,0,0,0,0,0,18,0,0
506706232,projects/0/506706232-e9e3d9a3ad6b1b8f7f258a00abf146acea84a34c,sphinx-extensions2/sphinx-subfigure,e9e3d9a3ad6b1b8f7f258a00abf146acea84a34c,7,576,2200,6,0,0,0,0,0,3,6,0,573,0,0,0,0,0,387,573,0,2182,0,0,0,0,0,1552,2182,0,0,0,0,0,0,6,26,0
593649904,projects/0/593649904-56e981e63a728668428215ce907632da406f72ae,Doracris28072007/lionv1,56e981e63a728668428215ce907632da406f72ae,2,1180,8720,2,1,0,0,0,0,2,1,0,1180,1155,0,0,0,0,1180,1155,0,8720,8613,0,0,0,0,8720,8613,0,2,0,0,0,0,4,6,0
585782316,projects/0/585782316-37fcec1ae22885c1b52e2aadb688e9b5927fcec3,ball2004244/KIPE-member-management,37fcec1ae22885c1b52e2aadb688e9b5927fcec3,839,316128,1140371,746,32,3,17,18,2,556,703,1,295766,21523,7581,18976,18107,348,221959,292785,36,1062503,80474,28162,74551,66533,1377,833089,1042821,100,50,4,32,29,2,1997,4047,1
631012586,projects/0/631012586-96c19ec813b100048b650b3f1814844a1dacc0e6,liaoyanqing666/siamese_neural_network_OfHSV,96c19ec813b100048b650b3f1814844a1dacc0e6,6,348,1340,6,0,0,0,0,0,6,5,0,348,0,0,0,0,0,348,323,0,1340,0,0,0,0,0,1340,1084,0,0,0,0,0,0,11,18,0
575175331,projects/0/575175331-b7490633477db37816c711cf93afcd983d0af6c2,jdashmarc/ibm_project,b7490633477db37816c711cf93afcd983d0af6c2,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343886373,projects/0/343886373-aca8511defa8fd5f8013a7bd12cd28b58288429a,hoidn/xrd_clustering,aca8511defa8fd5f8013a7bd12cd28b58288429a,33,6649,27566,30,1,0,0,0,0,28,26,0,6649,653,0,0,0,0,6604,6288,0,27566,2696,0,0,0,0,27362,25983,0,1,0,0,0,0,145,167,0
374361862,projects/0/374361862-95bc1fa877b20c5117e438f08f58a4d148d6fe8a,Aarekaz/mymovielist,95bc1fa877b20c5117e438f08f58a4d148d6fe8a,15,2774,9925,14,2,0,0,0,0,14,14,0,2773,334,0,0,0,0,2773,2773,0,9923,1187,0,0,0,0,9923,9923,0,2,0,0,0,0,71,38,0
105772060,projects/0/105772060-70b61111aa47a6e8f8070027191ce14db151cdd4,sainttx/csc369,70b61111aa47a6e8f8070027191ce14db151cdd4,2,99,431,2,0,0,0,0,0,2,1,0,99,0,0,0,0,0,99,88,0,431,0,0,0,0,0,431,392,0,0,0,0,0,0,4,1,0
806942870,projects/0/806942870-313635f91472139c0e46b760af2e2f7719a975d2,aashilchaudhary/DS,313635f91472139c0e46b760af2e2f7719a975d2,7,341,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
