id,path,name,position,language,loc,words,keywords/globals.json,keywords/builtins.json,keywords/global.json,keywords/inspect.json,keywords/locals.json,keywords/nonlocal.json,loop_statements,loop_nestings,if_statements,if_nestings,functions_calls,function_calls_nestings,params,param_kw_match,parse_error
405153059,tot_projects/0/405153059-2ccc80789143d7361a14735d5884830688a4e4b4/microsoft-building-damage-assessment-cnn-siamese-2ccc807/train/train.py.functions/55-1,main,55:1,python,210,823,0,0,4,0,0,0,11,3,8,2,130,3,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/doctest.py.functions/195-1,_normalize_module,195:1,python,18,101,1,0,0,0,0,0,0,0,1,1,7,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/doctest.py.functions/1864-1,testmod,1864:1,python,103,475,0,0,1,0,0,0,1,1,6,1,11,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/doctest.py.functions/1968-1,testfile,1968:1,python,122,600,0,0,1,0,0,0,0,0,8,1,13,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/doctest.py.functions/2120-1,set_unittest_reportflags,2120:1,python,34,87,0,0,1,0,0,0,0,0,1,1,1,1,0,0,none
133431126,tot_projects/0/133431126-cc270113da3f429cebdbe806aa665c1a47ccf0c1/charlesq34-pointnet-autoencoder-cc27011/train.py.functions/221-1,eval_one_epoch,221:1,python,30,120,0,0,1,0,0,0,1,1,0,0,16,3,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/asyncio/tasks.py.functions/495-1,_wait,495:1,python,42,132,0,0,0,0,0,1,3,1,6,2,16,1,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/asyncio/tasks.py.functions/717-1,gather,717:1,python,111,351,0,0,0,0,0,1,2,1,14,3,25,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/psutil/_pswindows.py.functions/332-1,getloadavg,332:1,python,12,46,0,0,1,0,0,0,0,0,1,1,4,2,0,0,none
322764981,tot_projects/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/psutil/_pswindows.py.functions/435-1,boot_time,435:1,python,12,30,0,0,1,0,0,0,0,0,1,1,3,2,0,0,none
