id,name,language,loc,words,keywords/global.json,keywords/nonlocal.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/import.json,keywords/from_import.json,keywords/builtins.json,count
429095367,projects/0/429095367-205214728d35c81176bbccd043cd485ff19673d2/OmarZaki96-EGSim-2052147/Sub_HX_UI.py,python,348,1597,0,0,0,0,0,5,7,0,1
436720464,projects/0/436720464-b8af5a126821091ac2b7e4d3cdc754fdf9415e1d/LitosRomero-KrakenEnv-b8af5a1/Lib/site-packages/plotly/validators/waterfall/totals/marker/_color.py,python,14,37,0,0,0,0,0,1,0,0,1
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241010141620.py,python,205,662,0,0,0,0,0,3,3,0,1
572375380,projects/0/572375380-f36c3b5540a976cb9061d9b01acbb93292ed131e/Subrata0Ghosh-vertual-try-on-f36c3b5/env/Lib/site-packages/wheel/cli/pack.py,python,90,380,0,0,0,0,0,2,3,0,1
702755215,projects/0/702755215-aac7a7d6ed6207b4b88ff83cc27894e7ae290bb8/ishaggarwal13-LeetCode-aac7a7d/1715-split-a-string-into-the-max-number-of-unique-substrings/1715-split-a-string-into-the-max-number-of-unique-substrings.py,python,20,58,0,1,0,0,0,0,0,0,1
231240638,projects/0/231240638-df0e26370e2798402977973999be9545a5112fd4/syukronahmd-Machine-Learning-df0e263/Lib/site-packages/sklearn/utils/_show_versions.py,python,83,163,0,0,0,0,0,3,0,0,2
305307563,projects/0/305307563-830c472a9f231e3b7402705f6a02b1028bccfe92/RingoSnail-Python_Basic-830c472/venv/Lib/site-packages/pandas/core/computation/parsing.py,python,191,747,0,0,0,0,0,2,3,0,1
231240638,projects/0/231240638-df0e26370e2798402977973999be9545a5112fd4/syukronahmd-Machine-Learning-df0e263/Lib/site-packages/pandas/tests/sparse/frame/test_apply.py,python,117,456,0,0,0,0,0,2,4,0,1
467246960,projects/0/467246960-5349e974795871331aa77a8bf75a319ad85a6e7a/AndreyZen-iSeals-5349e97/Design/bin/Debug/Python34/Lib/encodings/quopri_codec.py,python,56,160,0,0,0,0,0,2,1,0,1
717400588,projects/0/717400588-efd720188ece2f25cf7f720a202e954f7eb47a95/mingchunNTU-Crystallizer_Simulator_Batch-efd7201/src/module/utility.py,python,270,1013,0,0,0,0,0,1,3,0,1
697414571,projects/0/697414571-d293840b35185073e579166da6bc52bcacf01052/Taller2-Grupo4-SnapMsg-Back-SnapMsgs-d293840/repository/tables/users.py,python,139,392,0,0,0,0,0,1,5,0,1
668589390,projects/0/668589390-ae0846a80233512ce78a986eb4c8189d5c8b4e43/MDOpx-ISLES22-model-inference-ae0846a/nnunet_normal/nnunet/inference/segmentation_export.py,python,238,1178,0,0,0,0,0,3,5,0,2
342016617,projects/0/342016617-a1b4be50095efc05ab29038188d05421e66f3bc0/eshanjain1-mdst-a1b4be5/env/lib/python3.8/site-packages/zmq/tests/test_z85.py,python,65,307,0,0,0,0,0,0,2,0,1
600303042,projects/0/600303042-f97574f6514cf89a13d97456193b7a83e5676bcf/aaron-hu-dev-AutoAirCon-f97574f/.pycharm_helpers/coveragepy/coverage/backunittest.py,python,42,193,0,0,0,0,0,2,0,0,1
436720464,projects/0/436720464-b8af5a126821091ac2b7e4d3cdc754fdf9415e1d/LitosRomero-KrakenEnv-b8af5a1/Lib/site-packages/plotly/validators/scattergl/unselected/marker/_opacity.py,python,15,42,0,0,0,0,0,1,0,0,1
677531604,projects/0/677531604-2d41634e1deb5edfc69371ceb893da6e260a0da2/HazemUsama-alx-higher_level_programming-2d41634/0x0F-python-object_relational_mapping/13-model_state_delete_a.py,python,24,80,0,0,0,0,0,1,3,0,1
42218294,projects/0/42218294-8624bc67feadffe8fbc18803334fbd7c021aad6d/BerkeleyAutomation-tsc-dl-8624bc6/scripts/constants.py,python,125,616,0,0,0,0,0,4,0,0,1
797482405,projects/0/797482405-58d3a37d3160928018d166f4c33cd61ff8bd9afe/AngelVelazq-holbertonschool-higher_level_programming-58d3a37/python-object_relational_mapping/myenv/lib/python3.11/site-packages/sqlalchemy/dialects/sqlite/pysqlcipher.py,python,155,656,0,0,0,0,0,2,4,0,1
235247044,projects/0/235247044-6475f08d5c9753549e42dbe5472e5df84eea3df3/Feo-0134-EscalationHelper-6475f08/env/lib/python3.7/site-packages/oauth2_provider/management/commands/cleartokens.py,python,10,34,0,0,0,0,0,0,2,0,1
436720464,projects/0/436720464-b8af5a126821091ac2b7e4d3cdc754fdf9415e1d/LitosRomero-KrakenEnv-b8af5a1/Lib/site-packages/numpy/core/_internal.py,python,910,3107,0,0,0,0,0,7,1,0,1
391153219,projects/0/391153219-7a70a9f93d8d77649866f4142b2f28cb922ea7e2/jaryaman-graph-inference-7a70a9f/utils/plot.py,python,21,85,0,0,0,0,0,2,0,0,1
154631357,projects/0/154631357-438b8701193ea8b7ac967fc12532b87f162462c1/Anisha7-Tweet-Generator-438b870/venv/lib/python2.7/site-packages/pylint/test/input/func_i0014.py,python,8,21,0,0,0,0,0,1,0,0,1
342016617,projects/0/342016617-a1b4be50095efc05ab29038188d05421e66f3bc0/eshanjain1-mdst-a1b4be5/env/lib/python3.8/site-packages/nbconvert/utils/pandoc.py,python,137,461,2,0,0,0,0,4,4,0,1
56684401,projects/0/56684401-68ae83ed6ec893426614166e1353845822046789/tobbad-micropython_lib-68ae83e/sensor/lsm303c.py,python,177,517,0,0,0,0,0,0,3,0,1
781867275,projects/0/781867275-ab1302a7592b7a1a5dfb9f11686477146c75ea80/dudhatdhavalm-Inventory-ab1302a/db/base_class.py,python,37,107,0,0,0,0,0,1,6,0,1
305307563,projects/0/305307563-830c472a9f231e3b7402705f6a02b1028bccfe92/RingoSnail-Python_Basic-830c472/venv/Lib/site-packages/gevent/tests/test__issue_728.py,python,9,23,0,0,0,0,0,0,1,0,1
436720464,projects/0/436720464-b8af5a126821091ac2b7e4d3cdc754fdf9415e1d/LitosRomero-KrakenEnv-b8af5a1/Lib/site-packages/plotly/validators/layout/updatemenu/_font.py,python,37,153,0,0,0,0,0,1,0,0,1
724947547,projects/0/724947547-a40b6a048fdd992d0046e41bb23a83a28c6d1264/21dagi-alx-higher_level_programming-a40b6a0/0x11-python-network_1/3-error_code.py,python,22,79,0,0,0,0,0,0,3,0,1
252831118,projects/0/252831118-7206c66f4fd3aa149fb44e2c8169213fccad629f/Mesantacruz-tarea1_taller_de_integracion-7206c66/myvenv/lib/python2.7/site-packages/django/db/models/__init__.py,python,73,305,0,0,0,0,0,1,20,0,1
198638709,projects/0/198638709-bf78d417849a74d9c5a520d40dcbebeadf084706/MGRNascimento-Tese-bf78d41/install/lib/python2.7/dist-packages/baxter_external_devices/__init__.py,python,33,236,0,0,0,0,0,0,2,0,3
125006972,projects/0/125006972-13c8f2c709b5b5f726f23e09d8fd191b9b5de6ad/Deevoluation-JaypeeFacultyData-13c8f2c/venv/lib/python3.6/site-packages/pandas/tests/plotting/test_datetimelike.py,python,1563,7028,0,0,0,0,0,9,16,0,1
342016617,projects/0/342016617-a1b4be50095efc05ab29038188d05421e66f3bc0/eshanjain1-mdst-a1b4be5/env/lib/python3.8/site-packages/pygments/formatters/latex.py,python,511,2107,0,0,0,0,0,0,5,0,1
259383382,projects/0/259383382-f2d9d456c854b52c932ec617ea3c40564b78bcdb/JoseAVallejo12-holbertonschool-higher_level_programming-f2d9d45/0x0C-python-almost_a_circle/13-main.py,python,17,42,0,0,0,0,0,0,1,0,2
436720464,projects/0/436720464-b8af5a126821091ac2b7e4d3cdc754fdf9415e1d/LitosRomero-KrakenEnv-b8af5a1/Lib/site-packages/pandas/tests/arrays/test_numpy.py,python,258,741,0,0,0,0,0,4,2,0,1
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/test2_20240820143448.py,python,19,41,0,0,0,0,0,1,1,0,1
469285263,projects/0/469285263-75690b0438932399f7e10c5e861ca379d5337e96/ashishrai96-ias-hackathon-75690b0/Controller_Manager/kafka_util.py,python,99,229,0,0,0,0,0,1,3,0,1
227922147,projects/0/227922147-726b2b07970fcf6c836f1e0963977c988ddea21a/brunomichetti-area-experiment-726b2b0/venv-area-clf/lib/python3.7/site-packages/numpy/lib/tests/test_io.py,python,2595,12471,0,0,0,1,0,14,8,0,1
436720464,projects/0/436720464-b8af5a126821091ac2b7e4d3cdc754fdf9415e1d/LitosRomero-KrakenEnv-b8af5a1/Lib/site-packages/plotly/validators/isosurface/colorbar/_ticktext.py,python,13,31,0,0,0,0,0,1,0,0,1
129267929,projects/0/129267929-54f58c3856024a9b2564b1a661ed300868de1af0/Zeeshan138063-new-54f58c3/venvaxefree/Lib/site-packages/wheel/util.py,python,156,460,0,0,0,0,0,8,1,0,1
645021034,projects/0/645021034-8f63d99171b7a7edbda77ee4554fbc7c6ff9d9ee/vineetbhoriya-Portfolio-8f63d99/venv/Lib/site-packages/pip/_internal/req/req_install.py,python,867,3299,0,0,0,0,0,7,31,0,1
502597193,projects/0/502597193-273fa11e1bc65f9aab23e15f1b29c855a7fbdaf9/szalai-balazs-david-leetcode-273fa11/0048 Rotate Image/test_Solution.py,python,28,177,0,0,0,0,0,0,2,0,1
